Date,Open,High,Low,Close,Volume,Currency,symbol,Name,Exchange,Sector,Industry,Last,Chg. %,Market Cap
2019-06-24,1125.37,1128.05,1115.32,1117.3,1161,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-25,1116.7,1116.7,1089.64,1095.09,501,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-26,1091.0,1093.99,1082.7,1082.7,589,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-27,1080.32,1088.43,1080.1,1081.96,14645,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-28,1077.23,1082.68,1074.35,1078.6,775,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-01,1101.04,1112.81,1095.39,1097.86,552,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-02,0.0,1112.73,1101.37,1101.37,772,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-03,1119.2,1131.25,1112.86,1123.76,786,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-05,1119.37,1126.39,1113.57,1123.45,483,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-08,1132.67,1132.67,1113.48,1114.54,13391,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-09,1111.0,1122.47,1108.03,1121.0,389,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-10,1133.96,1142.34,1132.85,1132.85,1005,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-11,1146.16,1151.94,1144.53,1149.71,600,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-12,1144.08,1146.37,1134.54,1143.8,26481,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-15,1145.34,1152.68,1140.43,1149.49,389,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-16,1146.73,1160.8,1145.44,1157.4,1529,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-17,1152.81,1162.41,1148.85,1149.85,619,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-18,1142.16,1147.09,1136.3,1138.65,495,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-19,1147.24,1150.45,1139.48,1142.81,275,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-22,1135.47,1135.75,1123.13,1129.24,976,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-23,1134.16,1145.81,1134.16,1139.66,5511,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-24,1132.55,1145.21,1129.11,1142.02,343,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-25,1138.95,1147.96,1124.47,1128.44,782,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-26,1228.0,1268.0,1228.0,1255.49,6085,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-29,1245.22,1247.73,1228.77,1233.2,51010,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-30,1228.73,1237.23,1224.02,1231.37,624,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-07-31,1225.5,1230.47,1220.05,1229.68,1894,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-01,1217.63,1239.75,1217.63,1234.41,1257,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-02,1211.78,1211.78,1191.33,1200.57,2402,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-05,1196.32,1196.32,1159.0,1167.71,25216,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-06,1167.56,1211.78,1163.19,1165.36,1919,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-07,1157.8,1178.81,1152.85,1171.01,4153,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-08,1186.43,1197.51,1176.71,1192.1,1126,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-09,1206.19,1206.19,1188.0,1190.0,2603,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-12,1180.0,1183.79,1171.1,1179.64,730,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-13,1174.5,1204.0,1172.93,1191.19,12138,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-14,0.0,1196.73,1163.32,1171.24,21280,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-15,1167.0,1175.0,1164.23,1164.32,701,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-16,1169.32,1183.86,1169.32,1175.19,64983,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-19,1191.83,1205.91,1191.83,1205.91,687,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-20,1195.35,1199.31,1188.39,1193.08,1312,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-21,1195.82,1198.84,1194.0,1197.85,715,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-22,1193.8,1198.44,1180.99,1186.15,1204,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-23,1185.17,1193.77,1169.91,1170.34,997,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-27,1183.0,1183.07,1168.43,1169.19,1691,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-28,1170.82,1179.27,1164.19,1176.66,18156,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-29,1186.42,1200.88,1185.84,1196.82,1171,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-08-30,1199.19,1199.19,1186.72,1187.19,1465,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-02,1194.24,1194.24,1194.24,1194.24,0,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-03,1181.85,1186.34,1177.37,1183.26,490,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-04,1179.45,1181.72,1171.58,1181.72,223,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-05,1192.61,1210.41,1192.61,1210.41,565,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-06,1209.14,1212.13,1203.03,1208.11,1586,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-09,1207.08,1220.45,1205.0,1218.76,693,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-10,1196.09,1205.25,1196.09,1201.0,817,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-11,1206.66,1219.82,1206.66,1219.82,731,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-12,1223.47,1239.54,1223.47,1238.93,556,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-13,1232.11,1242.55,1228.08,1233.93,721,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-16,1240.03,1240.03,1230.44,1233.3,1670,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-17,1233.52,1233.97,1225.1,1225.29,145,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-18,1230.24,1234.52,1226.59,1228.26,98,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-19,1232.32,1247.65,1232.32,1240.95,737,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-20,1234.31,1242.3,1234.31,1237.93,364,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-09-23,1229.84,1233.9,1225.2,1233.9,1338,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
